Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
144303,Blajel,SB,1,0,2,0,1
144349,Brateiu,SB,1,0,2,0,1
144376,Bradeni,SB,0,0,0,0,0
144410,Bruiu,SB,1,0,1,0,1
144456,Chirpar,SB,1,0,1,0,1
144508,Carta,SB,1,0,2,0,1
144535,Cartisoara,SB,0,0,2,0,0
144553,Darlos,SB,1,0,1,0,1
144599,Gura Raului,SB,2,0,3,0,2
144615,Hoghilag,SB,0,0,0,0,0
144651,Iacobeni,SB,1,0,1,0,1
144713,Jina,SB,2,0,2,0,2
144731,Laslea,SB,2,0,2,0,2
144795,Loamnes,SB,1,0,2,0,1
144866,Ludos,SB,0,0,0,0,0
144893,Marpod,SB,1,0,1,0,1
144928,Oras Miercurea Sibiului,SB,2,0,5,0,2
144964,Merghindeal,SB,1,0,1,0,1
144991,Micasasa,SB,1,0,1,0,1
145042,Mihaileni,SB,1,0,1,0,1
145104,Mosna,SB,1,0,1,0,1
145140,Nocrich,SB,1,0,1,0,1
145202,Orlat,SB,2,0,3,0,2
145220,Pauca,SB,2,0,2,0,2
145275,Poiana Sibiului,SB,2,0,1,0,2
145293,Porumbacu De Jos,SB,2,0,3,0,2
145355,Racovita,SB,2,0,2,0,2
145382,Rau Sadului,SB,0,0,0,0,0
145408,Rosia,SB,3,0,3,0,3
145471,Sadu,SB,1,0,2,0,1
145499,Oras Saliste,SB,4,0,10,0,3
145603,Slimnic,SB,3,0,3,0,3
145667,Seica Mare,SB,3,0,2,0,3
145738,Seica Mica,SB,1,0,2,0,1
145765,Sura Mare,SB,2,0,2,0,2
145792,Sura Mica,SB,2,0,3,0,2
145827,Oras Talmaciu,SB,6,0,20,0,5
145907,Tilisca,SB,2,0,2,0,2
145934,Turnu Rosu,SB,2,0,2,0,2
145961,Valea Viilor,SB,1,0,1,0,1
145998,Vurpar,SB,1,0,2,0,1
146012,Alma,SB,0,0,0,0,0
146021,Boita,SB,1,2,1,22,1
146263,Municipiul Suceava,SV,133,277,671,1139,67
146281,Ipotesti,SV,3,0,8,1,3
146325,Mitocu Dragomirnei,SV,2,0,4,14,2
146370,Oras Salcea,SV,4,0,5,0,4
146432,Scheia,SV,13,0,28,11,4
146502,Municipiul Campulung Moldovenesc,SV,22,34,116,140,12
146539,Municipiul Falticeni,SV,35,49,142,174,18
146584,Oras Gura Humorului,SV,17,17,82,61,8
146628,Municipiul Radauti,SV,30,55,153,239,16
146655,Oras Siret,SV,4,15,27,82,4
146708,Oras Solca,SV,2,0,6,0,2
146744,Municipiul Vatra Dornei,SV,25,28,97,90,10
146799,Adancata,SV,2,0,3,6,2
146860,Arbore,SV,2,0,6,1,2
146904,Baia,SV,3,0,4,0,3
146931,Oras Milisauti,SV,2,0,6,0,2
146995,Balcauti,SV,1,0,3,0,1
147036,Bilca,SV,1,0,5,1,1
147054,Bogdanesti,SV,2,0,6,1,2
147072,Boroaia,SV,2,0,6,1,2
147134,Bosanci,SV,3,0,7,0,3
147161,Botosana,SV,1,0,4,0,1
147205,Breaza,SV,1,0,2,1,1
147241,Brodina,SV,1,0,5,1,1
147358,Oras Brosteni,SV,3,0,4,0,3
147465,Bunesti,SV,1,0,2,1,1
147526,Cacica,SV,1,0,7,1,1
147580,Calafindesti,SV,1,0,4,0,1
147633,Oras Cajvana,SV,3,0,8,0,3
147660,Ilisesti,SV,1,0,12,1,1
147713,Carlibaba,SV,1,0,2,1,1
147786,Cornu Luncii,SV,4,0,8,67,4
147884,Crucea,SV,1,0,3,0,1
147937,Darmanesti,SV,4,0,5,0,4
148006,Oras Dolhasca,SV,3,0,4,0,3
148097,Dolhesti,SV,1,0,3,1,1
148131,Dorna-Arini,SV,2,0,5,1,2
148202,Dorna Candrenilor,SV,2,0,4,0,2
148293,Dornesti,SV,1,0,5,1,1
148328,Dragoiesti,SV,1,0,6,0,1
148382,Draguseni,SV,1,0,4,1,1
148426,Dumbraveni,SV,3,0,8,7,3
148453,Fantanele,SV,1,0,4,0,1
148514,Forasti,SV,2,0,4,1,2
148612,Oras Frasin,SV,3,0,6,0,3
148667,Fratautii Noi,SV,2,0,4,0,2
148694,Fratautii Vechi,SV,2,0,3,0,2
148729,Frumosu,SV,3,0,4,1,3
148765,Fundu Moldovei,SV,2,0,4,8,2
148872,Galanesti,SV,1,0,3,1,1
148916,Gramesti,SV,1,0,3,1,1
148970,Granicesti,SV,2,0,6,0,2
149049,Horodniceni,SV,1,0,3,1,1
149101,Horodnic De Jos,SV,1,0,2,0,1
149138,Iacobeni,SV,2,0,4,0,2
149183,Izvoarele Sucevei,SV,1,0,1,1,1
149227,Oras Liteni,SV,3,0,5,0,3
149290,Marginea,SV,3,0,8,0,3
149316,Malini,SV,1,0,12,6,1
149370,Manastirea Humorului,SV,1,0,3,1,1
149414,Moara,SV,2,0,6,1,2
149502,Moldova-Sulita,SV,1,0,2,0,1
149539,Moldovita,SV,2,0,4,0,2
149584,Musenita,SV,1,0,1,0,1
149655,Ostra,SV,2,0,5,0,2
149682,Panaci,SV,2,0,4,1,2
149753,Paltinoasa,SV,1,0,6,1,1
149780,Partestii De Jos,SV,1,0,4,1,1
149833,Patrauti,SV,2,0,5,0,2
149851,Poiana Stampei,SV,1,0,1,1,1
149931,Pojorata,SV,1,0,3,15,1
149968,Preutesti,SV,1,0,4,0,1
150043,Putna,SV,2,0,5,2,2
150070,Radaseni,SV,2,0,2,0,2
150114,Rasca,SV,2,0,6,0,2
150178,Sadova,SV,1,0,3,0,1
150196,Satu Mare,SV,1,0,3,0,1
150221,Siminicea,SV,1,0,4,0,1
150258,Slatina,SV,1,0,3,0,1
150294,Straja,SV,3,0,9,1,3
150310,Stroiesti,SV,1,0,3,0,1
150356,Stulpicani,SV,1,0,4,1,1
150418,Sucevita,SV,1,0,7,0,1
150445,Saru Dornei,SV,2,0,4,0,2
150524,Todiresti,SV,2,4,8,57,2
150588,Udesti,SV,3,0,7,0,3
150702,Ulma,SV,1,0,1,1,1
150766,Vadu Moldovei,SV,2,2,10,9,2
150891,Valea Moldovei,SV,1,0,3,1,1
150935,Vama,SV,2,0,10,0,2
150980,Vatra Moldovitei,SV,2,0,6,0,2
151022,Veresti,SV,3,0,10,0,3
151077,Vicovu De Jos,SV,2,0,7,1,2
151095,Oras Vicovu De Sus,SV,5,0,15,0,5
151120,Volovat,SV,2,0,5,0,2
151157,Vulturesti,SV,3,0,6,0,3
151246,Zamostea,SV,2,0,5,1,2
151344,Zvoristea,SV,2,0,7,22,2
151433,Comanesti,SV,1,0,2,1,1
151442,Iaslovat,SV,1,0,2,1,1
151451,Ciocanesti,SV,1,0,3,1,1
151460,Serbauti,SV,1,0,2,1,1
151479,Horodnic De Sus,SV,1,0,3,0,1
151488,Fantana Mare,SV,1,0,1,0,1
151497,Cosna,SV,0,0,1,0,0
151503,Capu Campului,SV,1,0,3,0,1
151512,Hantesti,SV,2,0,12,0,2
151521,Burla,SV,1,0,2,0,1
151530,Balaceana,SV,1,0,3,1,1
151549,Hartop,SV,1,0,3,0,1
151558,Voitinel,SV,1,0,3,1,1
