Siruta,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
7810,-5.638993710691825,-10.276956931782458,-10.27349889971707,-27.40062893081761,-2.748821125432254
7865,-4.638993710691825,-10.276956931782458,-12.27349889971707,-26.40062893081761,-1.7488211254322539
7945,-4.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-1.7488211254322539
8014,-3.6389937106918246,-10.276956931782458,-9.27349889971707,-26.40062893081761,-0.7488211254322539
8096,-1.6389937106918246,-10.276956931782458,4.726501100282929,-27.40062893081761,1.2511788745677461
8158,-4.638993710691825,-10.276956931782458,-10.27349889971707,-27.40062893081761,-1.7488211254322539
8229,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
8354,-4.638993710691825,-10.276956931782458,-11.27349889971707,-27.40062893081761,-1.7488211254322539
8425,-5.638993710691825,-10.276956931782458,-12.27349889971707,-26.40062893081761,-2.748821125432254
8826,-4.638993710691825,-10.276956931782458,-11.27349889971707,-26.40062893081761,-1.7488211254322539
9019,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
9026,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
9262,285.3610062893082,469.7230430682175,827.7265011002829,875.5993710691824,153.25117887456776
9280,-2.6389937106918246,-10.276956931782458,-8.27349889971707,-27.40062893081761,0.2511788745677461
9333,-3.6389937106918246,-10.276956931782458,-9.27349889971707,-27.40062893081761,-0.7488211254322539
9360,-4.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-1.7488211254322539
9397,3.3610062893081754,-10.276956931782458,-4.273498899717071,-27.40062893081761,3.251178874567746
9459,18.361006289308175,-9.276956931782458,50.72650110028293,-26.40062893081761,-0.7488211254322539
9495,7.361006289308175,-9.276956931782458,3.7265011002829294,-25.40062893081761,8.251178874567746
9538,23.361006289308175,7.723043068217542,18.72650110028293,58.59937106918239,7.251178874567746
9574,12.361006289308175,4.723043068217542,15.72650110028293,7.599371069182389,6.251178874567746
